uid,conversation
u00,760.1117953576504
u01,764.026158788435
u02,849.7296021577882
u03,519.8661087866109
u04,550.2323712093533
u05,662.5707317073171
u07,588.9766933721777
u08,588.649609375
u09,755.6571176729836
u10,510.74513274336283
u12,720.5317371937639
u13,418.83864229765015
u14,871.3379457158063
u15,734.8032319391635
u16,596.9674985490424
u17,626.0422636103152
u18,739.2274024738344
u19,620.8629893238434
u20,451.97813688212926
u22,585.1244364292155
u23,472.83498098859314
u24,734.9007633587786
u25,865.8242640499554
u27,459.1509945750452
u30,917.5908875177978
u31,463.3420743639922
u32,836.4946291560102
u33,1051.0565410199556
u34,612.0456540825286
u35,537.2193412754029
u36,418.65099268547544
u39,255.6919540229885
u41,664.9744435284418
u42,601.4193548387096
u43,602.8214904679376
u44,456.99571734475376
u45,632.5035742652899
u46,754.1069743051914
u47,400.430155210643
u49,525.6070998796631
u50,412.36245954692555
u51,452.8569214876033
u52,460.8496143958869
u53,563.7708219923788
u54,626.6477541371158
u56,513.3848314606741
u57,653.3619386393952
u58,846.8892025405787
u59,393.5405140758874
