uid,dark
u00,9595.923913043478
u01,12134.068292682927
u02,11389.069518716578
u03,14019.730158730159
u04,11836.712686567163
u05,13043.088235294117
u07,13653.809210526315
u08,10381.009433962265
u09,11098.75392670157
u10,11093.244239631336
u12,10734.401486988847
u13,14594.815789473685
u14,13691.326530612245
u15,14333.285714285714
u16,10564.435582822085
u17,12080.709956709956
u18,11817.92
u19,13752.329608938548
u20,12465.373626373626
u22,11872.226804123711
u23,13616.785340314136
u24,9906.142857142857
u25,9456.257731958764
u27,9446.009615384615
u30,12392.329842931937
u31,9958.11
u32,12715.120689655172
u33,12645.355555555556
u34,11209.529411764706
u35,12580.617021276596
u36,10981.02868852459
u39,17440.75
u41,11516.931506849314
u42,14530.770833333334
u43,12297.057553956834
u44,12096.190476190477
u45,14543.478260869566
u46,10053.768292682927
u47,13019.739130434782
u49,10203.910447761195
u50,13562.112903225807
u51,10901.879807692309
u52,10474.933014354066
u53,13498.879032258064
u54,9892.390728476821
u56,12912.88785046729
u57,11029.403433476395
u58,11290.091397849463
u59,10667.4
