uid,phonecharge
u00,14838.68
u01,22644.977272727272
u02,14817.8
u03,20112.23404255319
u04,23650.183333333334
u05,15222.027777777777
u07,18623.875
u08,12210.757009345794
u09,18094.197183098593
u10,9573.341176470589
u12,19890.63829787234
u13,8909.79381443299
u14,15722.0
u15,10845.533333333333
u16,13092.512195121952
u17,13266.481481481482
u18,12938.085714285715
u19,8492.15238095238
u20,14903.70588235294
u22,13271.949152542373
u23,12769.81884057971
u24,18863.5
u25,8953.357142857143
u27,13034.684931506848
u30,18880.78787878788
u31,9567.858407079646
u32,17860.51948051948
u33,18050.764705882353
u34,11849.407407407407
u35,14591.785714285714
u36,18465.095238095237
u39,22789.0
u41,12898.711538461539
u42,16639.0
u43,12192.971014492754
u44,10634.0
u45,11594.245614035088
u46,16642.202898550724
u47,11525.372881355932
u49,9844.877551020409
u50,13540.185185185184
u51,23949.30909090909
u52,13734.575757575758
u53,14553.34693877551
u54,10801.69696969697
u56,16679.102564102563
u57,15452.284403669724
u58,20298.316666666666
u59,11456.72077922078
