uid,phonelock
u00,9457.805309734513
u01,14280.356481481482
u02,10340.108974358975
u03,14850.039215686274
u04,14496.551867219918
u05,13357.544444444444
u07,15476.071895424837
u08,8540.22463768116
u09,14803.744292237443
u10,9943.016611295681
u12,9373.533923303834
u13,10137.340101522843
u14,11295.138248847927
u15,15342.689655172413
u16,10656.037190082645
u17,13126.231441048036
u18,12377.0
u19,11370.472440944883
u20,12518.536363636364
u22,11841.61320754717
u23,10393.163551401869
u24,11099.849206349207
u25,12007.98076923077
u27,11037.612244897959
u30,13422.572033898305
u31,7803.514423076923
u32,12776.622807017544
u33,10328.306451612903
u34,13038.45
u35,12577.971153846154
u36,9684.882882882883
u39,10640.692307692309
u41,14247.661764705883
u42,12092.765306122448
u43,12356.67901234568
u44,11237.795555555556
u45,10126.070652173914
u46,9354.073170731708
u47,11501.105882352942
u49,8215.42652329749
u50,11658.376237623763
u51,12287.465189873417
u52,9335.050632911392
u53,12065.896265560166
u54,8722.345454545455
u56,13267.39416058394
u57,8686.996575342466
u58,12035.744360902256
u59,10468.089655172414
